"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033845",2065.60105670575,0.90520540927058,0.0447215905407767,20.2409037407831,4.27262488854475e-91,9.80567411921021e-89
"ENSMUSG00000025903",3149.10529926032,-0.754748051796523,0.154040337046539,-4.89967800816027,9.59938443775688e-07,4.73776070637678e-06
"ENSMUSG00000033813",3325.36100463326,0.240942894456329,0.0965280681696409,2.49609154130061,0.0125570191708303,0.0280698301919373
"ENSMUSG00000002459",3.60178413400662,1.33440301136555,0.994819182110665,1.34135231342685,0.179806092400228,0.275688114342165
"ENSMUSG00000033793",2588.02381215012,0.221948043026025,0.0727519672602728,3.05074971006623,0.00228270775468508,0.00612292799012129
"ENSMUSG00000025905",2.06336969814628,-2.42287360173819,1.69344365410687,-1.43073765451973,0.152505417155392,0.240274553115532
"ENSMUSG00000025907",5847.45526517164,-0.456129956178246,0.0824528453335173,-5.53200989405793,3.16582042187028e-08,1.91734034106634e-07
"ENSMUSG00000033740",1.396692682777,0.558897879597219,1.45345020831777,0.384531837691288,0.700584303295162,0.786472244814139
"ENSMUSG00000051285",3535.03273110378,0.0360062645487256,0.0450639909229946,0.799003013520334,0.424288664613613,0.542154580977087
"ENSMUSG00000061024",1383.52576891371,0.447861768863527,0.0746492937363075,5.99954462322928,1.9787164882585e-09,1.41042911283066e-08
"ENSMUSG00000025911",6.72804771524508,0.335602570006078,0.567352024714717,0.59152440704663,0.554169106632595,0.661882941031692
"ENSMUSG00000025912",287.45920899966,-0.398105050858896,0.116590565561488,-3.41455630600696,0.000638859874431308,0.00191468352156926
"ENSMUSG00000045210",5864.15504455001,-0.189851260832514,0.0706878701695253,-2.68576858203831,0.00723631893638846,0.0171907971972202
"ENSMUSG00000025915",500.143715137999,0.281679785862463,0.153418466257735,1.83602269487726,0.0663543002187259,0.119540182798811
"ENSMUSG00000046101",23.5314076791767,0.528155270842328,0.285974382866194,1.84686217537691,0.0647671179251712,0.117081696528532
"ENSMUSG00000099032",0.889130684278519,-1.0732305194906,2.70297014599772,-0.397056001924301,0.691326164051705,NA
"ENSMUSG00000025917",2653.20499084747,0.0788902712485362,0.0546398972451787,1.4438217351424,0.148789126406019,0.235226896740629
"ENSMUSG00000056763",2886.77106146182,-0.323991773957317,0.0719966294142109,-4.50009641553257,6.79226475617436e-06,2.9242280503719e-05
"ENSMUSG00000067851",11669.7943590266,-0.190355392795043,0.0390643989654635,-4.87286116863937,1.0999352099261e-06,5.39181832516203e-06
"ENSMUSG00000042501",0.981895181355654,-1.62156895164124,1.77484437252761,-0.913640078387219,0.360905999678108,NA
"ENSMUSG00000048960",10.7371684489785,-0.144285244272642,0.438747686377059,-0.328856991734979,0.742263783425545,0.818451592600038
"ENSMUSG00000016918",1.70021655984959,-0.797458106971106,1.88268470649852,-0.423574964102323,0.671875817027519,0.763190203241387
"ENSMUSG00000025938",58.0310870734855,-0.357917131983505,0.465483335103874,-0.768915028727366,0.441943755049405,0.559008105029924
"ENSMUSG00000042414",1.1220807486995,-0.437875425820462,2.29825785657547,-0.190524933730857,0.848897806721377,NA
"ENSMUSG00000005886",11537.3010595152,-0.31164833135473,0.0669191091717547,-4.65709025735613,3.20709866667639e-06,1.45617276691089e-05
"ENSMUSG00000025935",10448.9459697636,0.0259106075919669,0.0469791266259378,0.551534467600369,0.581267345516844,0.685278368815663
"ENSMUSG00000025937",1269.38842515966,-0.200289895348825,0.0640512746783057,-3.12702434658438,0.00176585303318264,0.00486227520334801
